name,description,price,stock
Extra Premium Dog Treats,Delicious and healthy treats for dogs,9.99,20
Extra Gourmet Cat Food,Premium quality cat food,15.99,30
Extra Interactive Pet Toy,Fun and engaging toy for pets,12.99,15
Extra Dog Shampoo,Gentle shampoo for sensitive skin,18.99,25
Extra Cat Litter Premium,Odor control cat litter,22.99,40
Extra Bird Seed Mix,Nutritious seed mix for birds,8.99,50
Extra Fish Food Pellets,High protein fish food,11.99,35
Extra Hamster Bedding,Soft and absorbent bedding,7.99,45
Extra Rabbit Hay,Fresh timothy hay,14.99,30
Extra Pet Vitamins,Daily health supplements,24.99,20
